	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_262_7.txt	262	7	748.125	692.384615385	479.40625	938.555555556	459.46875	534.5	724.5	758.0	728.434782609	604.5	620.275862069	647.0	627.04	650.565217391	606.384615385	640.777777778	755.772727273	725.5	555.0	615.59375	543.7	695.473684211	664.222222222	1237.21428571	659.0	730.0	689.954545455	510.615384615	734.5	522.517241379
alpha_rarefaction_262_8.txt	262	8	542.0	1178.88235294	609.444444444	701.035714286	620.55	823.714285714	939.3	622.666666667	681.142857143	759.928571429	612.896551724	542.576923077	437.487179487	730.5	520.535714286	597.730769231	664.222222222	833.526315789	520.7	747.043478261	576.0	433.5	581.636363636	947.9	542.5	533.111111111	655.956521739	551.714285714	642.777777778	622.0
alpha_rarefaction_262_9.txt	262	9	685.0	698.44	593.965517241	644.777777778	561.5	551.64	956.052631579	510.538461538	658.0	665.882352941	554.714285714	785.647058824	626.041666667	699.111111111	570.5	756.44	588.724137931	734.5	462.947368421	923.714285714	605.041666667	484.090909091	1036.55	680.0	455.25	742.375	765.4	449.171428571	534.0	643.25
alpha_rarefaction_325_0.txt	325	0	719.441176471	761.322580645	842.565217391	569.923076923	467.0	656.774193548	889.71875	542.073170732	655.451612903	613.681818182	842.833333333	593.636363636	689.527777778	805.785714286	560.885714286	747.0	969.44	797.964285714	659.777777778	892.857142857	609.923076923	631.677419355	648.775	625.108108108	753.357142857	858.137931034	831.0	538.394736842	626.8	392.6
alpha_rarefaction_325_1.txt	325	1	838.0	809.24	861.5	501.0625	697.214285714	614.090909091	660.303030303	713.916666667	636.285714286	418.0	703.5	596.558823529	964.5	749.757575758	518.363636364	829.689655172	708.517241379	1466.3125	696.387096774	776.676470588	827.217391304	972.681818182	686.387096774	797.0	886.551724138	832.833333333	651.15625	798.09375	552.075	458.957446809
alpha_rarefaction_325_2.txt	325	2	923.222222222	962.7	776.038461538	944.034482759	620.322580645	754.033333333	781.033333333	613.651162791	659.375	544.454545455	938.166666667	715.0	808.785714286	675.896551724	750.538461538	752.034482759	604.724137931	775.0	683.551724138	810.0	516.071428571	727.37037037	658.777777778	630.588235294	725.7	654.085714286	658.533333333	787.607142857	804.888888889	615.666666667
alpha_rarefaction_325_3.txt	325	3	747.71875	988.84	720.28125	855.107142857	568.6	557.024390244	712.916666667	699.0	616.941176471	544.75	637.677419355	687.24137931	665.0	866.5	704.5	599.95	852.538461538	806.444444444	664.567567568	857.090909091	755.125	676.033333333	610.675675676	906.045454545	619.5	677.27027027	822.333333333	728.5	747.5	544.756756757
alpha_rarefaction_325_4.txt	325	4	892.730769231	835.09375	773.037037037	766.875	563.714285714	796.636363636	966.333333333	687.171428571	584.848484848	472.333333333	678.848484848	709.2	843.04	603.5	1114.54545455	577.9	806.5	775.344827586	608.675675676	646.238095238	756.363636364	720.25	747.894736842	850.555555556	675.028571429	597.5	650.451612903	874.6	661.303030303	608.107142857
alpha_rarefaction_325_5.txt	325	5	803.333333333	983.954545455	840.857142857	570.525	584.848484848	617.837837838	831.09375	842.037037037	823.913043478	722.625	591.87804878	690.2	672.794117647	924.64	594.823529412	653.777777778	673.5	605.027777778	621.837837838	794.617647059	873.896551724	616.551724138	1036.75	704.5	579.9	793.617647059	592.7	806.5	976.0	440.75
alpha_rarefaction_325_6.txt	325	6	550.222222222	887.533333333	763.916666667	786.3125	627.483870968	629.59375	1196.45454545	753.1	558.5	680.5	645.333333333	523.078947368	798.357142857	749.40625	666.636363636	752.40625	760.033333333	774.344827586	610.027777778	681.052631579	756.125	740.777777778	938.2	689.285714286	723.222222222	660.529411765	589.228571429	862.689655172	691.870967742	553.071428571
alpha_rarefaction_325_7.txt	325	7	859.451612903	568.447368421	946.136363636	857.137931034	898.833333333	714.441176471	653.325	705.935483871	903.136363636	695.047619048	862.689655172	695.965517241	613.24137931	842.125	824.275862069	694.387096774	937.166666667	807.096774194	629.75	660.567567568	734.034482759	554.527777778	717.75	737.0625	945.875	749.5	629.689655172	575.7	803.333333333	499.609756098
alpha_rarefaction_325_8.txt	325	8	662.0	1128.57692308	578.9	526.279069767	461.029411765	1000.63636364	635.5	804.260869565	721.222222222	686.789473684	634.0	511.8	956.272727273	768.0	884.454545455	872.0	763.875	990.115384615	669.583333333	871.5	738.0	680.033333333	762.125	734.161290323	759.033333333	641.277777778	896.44	775.344827586	711.117647059	570.108108108
alpha_rarefaction_325_9.txt	325	9	697.625	675.27027027	668.0	822.322580645	604.115384615	865.5	668.405405405	722.206896552	673.875	522.615384615	1003.43478261	609.285714286	941.230769231	665.625	824.2	644.333333333	672.516129032	539.394736842	637.5	885.176470588	653.529411765	706.517241379	1001.51724138	797.333333333	649.230769231	702.0	790.230769231	744.64	672.636363636	527.279069767
alpha_rarefaction_388_0.txt	388	0	864.108108108	747.357142857	700.081081081	890.028571429	759.214285714	826.181818182	948.166666667	958.181818182	835.285714286	502.617647059	671.595744681	683.527777778	787.108108108	609.022222222	949.535714286	725.5	722.027027027	869.65625	591.608695652	736.468085106	641.022727273	665.947368421	855.125	707.4	699.5	945.323529412	821.571428571	847.677419355	772.236842105	648.384615385
alpha_rarefaction_388_1.txt	388	1	759.568181818	779.575	784.371428571	767.5	698.5	728.083333333	882.216216216	620.0	939.5	696.115384615	693.052631579	636.871794872	938.323529412	908.714285714	755.5	745.657894737	795.090909091	755.756756757	758.525	1066.5	912.870967742	815.03125	742.222222222	1009.0	725.526315789	984.025641026	693.171428571	693.894736842	744.65	503.396226415
alpha_rarefaction_388_2.txt	388	2	761.046511628	775.236842105	656.083333333	865.0	567.166666667	598.4	776.642857143	596.352941176	665.085714286	674.12	783.65	638.926829268	935.363636364	692.5	815.5	843.028571429	823.621621622	859.088235294	768.052631579	1105.02777778	670.727272727	558.5625	633.02173913	726.025	649.127659574	893.972972973	980.90625	709.538461538	696.45	559.238095238
alpha_rarefaction_388_3.txt	388	3	888.028571429	821.0	829.617647059	827.133333333	659.642857143	940.5	924.171428571	779.447368421	922.913043478	645.137931034	613.666666667	430.549019608	725.666666667	793.428571429	742.578947368	770.525	774.575	1216.5	686.5	716.717391304	605.578947368	603.333333333	659.0	702.738095238	731.076923077	1036.84848485	776.676470588	882.029411765	759.181818182	657.11627907
alpha_rarefaction_388_4.txt	388	4	892.028571429	877.0	835.322580645	768.826086957	786.0	941.433333333	802.153846154	965.294117647	507.318181818	689.4	657.212765957	641.5	730.441860465	789.073170732	726.5	1018.72413793	1063.27586207	859.088235294	502.82	910.028571429	705.538461538	684.527777778	834.857142857	754.025641026	759.076923077	723.130434783	811.03125	715.0	840.076923077	498.826086957
alpha_rarefaction_388_5.txt	388	5	752.886363636	775.0	722.027027027	663.0	587.333333333	943.25	746.0	773.738095238	715.6	584.05	604.0	746.657894737	760.027777778	844.833333333	823.193548387	687.023809524	925.535714286	927.517241379	666.446808511	816.571428571	813.228571429	749.228571429	859.5	1009.66666667	660.772727273	738.82	697.323529412	857.25	679.02	424.625
alpha_rarefaction_388_6.txt	388	6	643.926829268	748.578947368	633.046511628	932.28125	816.24137931	656.782608696	990.6	771.024390244	577.108108108	663.115384615	765.972972973	679.5	860.161290323	642.063829787	759.757575758	914.085714286	855.527777778	781.416666667	678.558139535	927.285714286	962.714285714	683.5	766.857142857	750.567567568	713.384615385	829.5	732.84375	924.666666667	778.384615385	491.692307692
alpha_rarefaction_388_7.txt	388	7	735.75	760.0	785.0	792.947368421	727.916666667	703.875	900.636363636	745.578947368	701.666666667	695.6	1051.2	543.042553191	749.0	722.081081081	742.5	896.636363636	758.6	714.609756098	637.0	819.512195122	1091.37037037	816.551724138	600.4	940.433333333	713.0	832.333333333	643.317073171	845.09375	687.5	587.782608696
alpha_rarefaction_388_8.txt	388	8	1035.84848485	833.097560976	615.136363636	809.243902439	562.348837209	705.418604651	955.636363636	695.153846154	624.666666667	483.451612903	749.575	733.526315789	1251.24	705.625	1056.33333333	903.387096774	884.125	706.222222222	724.2	664.208333333	599.9375	716.526315789	709.738095238	814.228571429	763.972972973	981.885714286	645.529411765	687.317073171	824.023255814	564.142857143
alpha_rarefaction_388_9.txt	388	9	846.487179487	637.56	994.206896552	842.243243243	534.025641026	753.6	832.692307692	866.0	825.181818182	509.5	702.8	732.083333333	851.6	792.459459459	700.219512195	972.038461538	913.027777778	942.37037037	543.068181818	1249.28571429	673.0	798.236842105	841.285714286	892.636363636	875.785714286	787.523809524	666.0	841.03030303	742.512195122	509.142857143
alpha_rarefaction_451_0.txt	451	0	987.166666667	907.756756757	952.0	1000.25	762.166666667	904.756756757	840.448979592	729.0	608.326086957	689.848484848	660.222222222	664.0	653.12244898	953.157894737	1061.09677419	768.568181818	766.72	691.057692308	784.738095238	782.8	943.926829268	1013.0	649.701754386	933.275	1033.46428571	1045.66666667	756.87755102	1070.39473684	909.622222222	648.125
alpha_rarefaction_451_1.txt	451	1	1022.025	894.333333333	896.076923077	741.283018868	851.03125	762.357142857	853.522727273	764.534883721	756.227272727	563.535714286	971.0	562.411764706	732.591836735	771.714285714	1004.32258065	815.153846154	868.488372093	963.0	979.0	801.982142857	710.763157895	965.028571429	713.3	1030.25641026	930.170731707	1144.5	829.682926829	876.871794872	770.270833333	604.117647059
alpha_rarefaction_451_2.txt	451	2	831.466666667	837.454545455	715.234042553	922.0	632.227272727	946.263157895	932.886363636	841.875	671.772727273	665.181818182	972.384615385	699.022222222	936.285714286	986.0	917.184210526	644.566037736	1146.08333333	813.025	704.666666667	1056.14285714	868.651162791	873.428571429	919.0	1163.5625	765.525	1043.79411765	1009.02941176	1049.45945946	863.483870968	605.117647059
alpha_rarefaction_451_3.txt	451	3	882.071428571	791.942307692	801.947368421	1482.04166667	865.384615385	964.2	1193.27027027	883.783783784	640.0	806.1875	730.272727273	611.217391304	845.15	746.5	726.0	1088.41666667	1112.16129032	820.675675676	731.9	1170.66666667	790.3125	880.357142857	775.178571429	725.717391304	826.692307692	864.357142857	963.256410256	863.571428571	677.403846154	628.352941176
alpha_rarefaction_451_4.txt	451	4	1078.18181818	1063.34883721	834.682926829	922.108695652	630.651162791	847.15	741.538461538	793.108695652	699.277777778	853.916666667	920.184210526	748.222222222	896.534883721	891.487179487	1043.42857143	759.8	779.333333333	886.394736842	820.75	1193.12195122	896.972972973	865.428571429	729.72	724.115384615	731.591836735	919.5	879.171428571	652.222222222	749.111111111	570.632653061
